Cierre,Semestre,Inflacion_Porc,Trimestre,Mes_del_Semestre,Morosidad_Porc,Var_mora_Porc,IPVU_Nom,IPVU_Real,TIB_Porc,BaseMonetaria_MMMCop,DepositosDelPublico_MMMCop,M1_MMMCop,M2_MMMCop,M3_MMMCop,IPC,InflaciónAnual_Porc,InflaciónMensualPorc,InflaciónAñoCorridoPorc,IndProdManufacturera,IPP_OfInt_Agricultura,IPP_OfInt_Minas,IPP_OfInt_Manufactura,IPP_OfertaInterna,ITCR_IPP_NoTrad,ITCR_IPC_NoTrad,ITCR_IPP_ComTotal,ITCR_IPC_ComTol,ITCR_Otros,ITCR_FMI,CuentaCorriente_MMUsd,Exportaciones_MMUsd,ImportacionesMMUsd,CuentaFinancieraMMUsd,IED_PetroleoMMUsd,IED_OtrosMMUsd,IED_AgroMMUsd,IED_MinasMMUsd,IED_ManufacturaMMUsd,IED_ElectricidadMMUsd,IED_ConstruccionMMUsd,IED_ComercioMMUsd,IED_TransporteMMUsd,IED_ServFinancierosMMUsd,IED_TelcosMMUsd,IED_TotalMMUsd,Min_TRM,Max_TRM,Ult_TRM,BFGCIngresosMMMCop,BFGCGastosMMMCop,BFGCInteresesMMMCop,BFGCNetoParcialMMMCop,BFGCFinanciamientoIntMMMCop,BFGCFinanciamientoExtMMMCop,PIBtrim_AgriculturaPorc,PIBtrim_MinasPorc,PIBtrim_ManufacturaPorc,PIBtrim_ComercioPorc,PIBtrim_ConstruccionPorc,PIBtrim_ServiciosPublicosPorc,PIBtrim_ServiciosFinancierosPorc,PIBtrim_OtrosPorc,PIBtrim_Subtotal_valAgregadoPorc,PIBtrim_NetoImpuestosPorc,PIBtrim_TotalPorc,PIBanual_AgriculturaPorc,PIBanual_MinasPorc,PIBanual_ManufacturaPorc,PIBanual_ComercioPorc,PIBanual_ConstruccionPorc,PIBanual_ServiciosPublicosPorc,PIBanual_ServiciosFinancierosPorc,PIBanual_OtrosPorc,PIBanual_Subtotal_valAgregadoPorc,PIBanual_NetoImpuestosPorc,PIBanual_TotalPorc,PetroleoWTIUltUsd,PetroleoWTIApertUsd,PetroleoWTIMaxUsd,PetroleoWTIMinUsd,PetroleoBrentUltUsd,PetroleoBrentApertUsd,PetroleoBrentMaxUsd,PetroleoBrentMinUsd,CafeBolsaUltUsd,CafeBolsaApertUsd,CafeBolsaMaxUsd,CafeBolsaMinUsd,GasUltUsd,GasApertUsd,GasMaxUsd,GasMinUsd,OroUltUsd,OroApertUsd,OroMaxUsd,OroMinUsd,AzucarUltUsd,AzucarApertUsd,AzucarMaxUsd,AzucarMinUsd,CafePrecioInternoCop
1996-01-31,1,20.24,1,1,4.616049198,13.46665274,347.152266,101.2855174,29.70368861,6267.087,29161.12613,7717.836,28961.289,32034.42613,22.35,20.24,2.51,2.51,99.02,28.18173424,17.34151192,33.4593603,31.69926179,100.97,119.57,102.93,121.46,109.79,106.45,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,987.65,1028.14,1028.14,652.9531714,1074.591549,51.37250494,-421.638378,420.1402452,1.4981328,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,17.74,19.52,20.52,17.08,16.52,18.55,19.31,15.93,128.6,92.6,131.5,90.4,2.658,2.75,3.1,1.925,405.6,387.4,407.3,387.4,12.15,11.62,12.5,10.83,193339.0
1996-02-29,1,20.81,1,2,4.819601605,4.409667197,347.152266,101.2855174,27.96581295,5987.209,29791.11291,6672.377,28431.308,32197.70391,23.25,20.81,4.01,6.62,114.89,28.45166636,18.67359151,34.33477171,32.43207612,101.35,118.68,103.09,120.24,108.15,107.45,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,1021.29,1039.81,1039.81,1166.762178,1306.195342,185.3111803,-139.433164,-227.3530902,366.7862542,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,19.54,17.72,23.0,17.43,17.76,16.6,18.45,16.43,117.8,128.0,130.75,113.6,2.236,2.66,2.9,2.16,399.9,406.8,417.5,396.5,12.53,11.96,13.25,11.87,190000.0
1996-03-31,1,20.2,1,3,4.715205239,-2.166078746,347.152266,101.2855174,36.27487785,5660.698,30173.73569,6618.494983,28859.80498,32535.38567,23.74,20.2,2.1,8.87,118.79,28.87144672,18.70579846,34.94654009,32.9712661,101.78,119.33,103.42,120.73,108.37,108.35,-1129.068675,3386.090934,4515.159609,966.0850527,249.3202416,290.5579385,3.33826145,21.36410783,91.37076361,53.80610194,-2.27011027,-2.642235947,15.53874492,107.649,2.403304933,539.8781801,1039.9,1049.22,1046.0,958.4879114,1705.850162,176.499272,-747.3622503,483.3816503,263.9806,13.36893304,38.06936693,19.93059459,19.10825086,9.332939602,18.0884981,24.55722671,25.55783645,20.0223544,16.7941311,19.80961105,15.33688557,42.6974404,21.4358713,20.91782412,20.48280142,18.81776973,27.85462695,24.24841335,22.52747347,23.27094163,22.85124956,21.47,19.55,25.6,18.78,19.41,17.9,20.3,17.2,115.45,117.25,127.5,113.5,2.336,2.245,2.88,2.07,395.8,392.5,400.8,392.5,11.79,11.47,12.49,11.34,190000.0
1996-04-30,1,19.9,2,4,5.155183959,9.33106192,363.804256,99.9006992,30.04277509,6158.694,31020.55558,6873.422964,28972.13996,33313.79655,24.21,19.9,1.97,11.02,110.99,29.24196191,19.0626515,35.20581335,33.26977029,99.74,115.98,101.67,117.61,107.8,105.96,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1042.2,1058.9,1058.9,1194.2979,1445.126192,210.3181355,-250.8282919,408.0894811,-157.2611892,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,21.2,21.38,25.7,21.16,19.02,19.4,23.3,18.08,125.1,115.45,134.0,111.0,2.224,2.305,2.425,2.165,391.9,395.3,398.0,389.7,10.51,11.88,11.98,10.05,195750.0
1996-05-31,1,19.78,2,5,5.207062027,1.006328157,363.804256,99.9006992,31.63028071,5888.384,31785.51035,6794.802,29677.241,34001.13535,24.58,19.78,1.55,12.75,119.77,29.5272894,19.94254547,35.66609622,33.70273581,98.16,113.12,100.45,115.24,107.74,103.96,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1061.1,1073.06,1073.06,877.7154905,1136.574658,102.1535985,-258.8591677,240.6721665,18.18700116,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,19.76,20.9,22.9,19.62,17.8,18.85,19.68,16.75,116.1,126.0,131.0,115.7,2.406,2.22,2.455,2.115,390.9,391.3,392.0,389.5,11.21,10.43,11.59,10.31,201500.0
1996-06-30,1,19.7,2,6,5.002555336,-3.927487134,363.804256,99.9006992,34.76640236,5839.221,32251.61615,6680.954896,29682.0519,34584.10204,24.87,19.7,1.14,14.04,111.05,29.36204578,18.71739296,35.87875856,33.7511419,98.85,113.2,101.17,115.26,107.28,103.84,-1027.710857,3770.181886,4797.892743,1132.043562,125.3926218,365.7006302,4.945295612,18.68558299,114.5823894,73.92289238,-0.368006244,2.582240942,19.7090695,128.6465527,2.994612847,491.0932519,1068.2,1074.72,1069.11,1046.177461,1312.542761,91.9893288,-266.3652999,-162.4788485,428.8441484,5.869602045,26.39667601,19.74591712,16.94081277,2.398778194,23.49040812,28.68350093,36.10745874,19.97505141,19.0204125,19.89768318,11.00463202,35.57848837,20.74392228,19.34260783,13.37684084,18.72173821,28.01210114,27.41626189,21.01013916,21.24656411,21.18376454,20.92,19.76,22.2,19.46,18.91,17.76,19.24,17.48,126.95,114.5,128.2,112.15,2.911,2.38,2.98,2.335,380.1,390.8,391.0,382.3,12.43,11.15,12.85,11.15,201500.0
1996-07-31,2,20.57,3,1,5.538822909,10.71987288,366.482421,96.69233512,25.55715939,5928.295,32601.7299,7150.295744,30190.28874,35126.24565,25.24,20.57,1.51,15.76,115.61,29.75103541,18.91836435,36.20357844,34.09401832,97.53,111.7,99.89,113.73,105.38,102.08,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1056.74,1070.55,1056.74,922.9133014,1515.970032,154.0490932,-593.0567307,611.6717355,-18.6150048,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,20.42,20.95,22.55,19.98,18.9,18.93,20.55,18.67,106.4,123.5,127.9,101.5,2.163,2.785,2.92,1.995,387.5,385.0,388.0,384.0,11.7,11.18,11.94,11.11,201500.0
1996-08-31,2,21.13,3,2,5.970427837,7.792358329,366.482421,96.69233512,26.2788306,5936.799,33567.53826,6838.069995,30647.059,36060.06225,25.52,21.13,1.1,17.04,113.17,29.70792838,19.19663243,36.45702533,34.26612884,96.21,109.37,98.55,111.4,102.99,99.58,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1029.46,1057.47,1042.32,1160.074301,1309.465791,274.16486,-149.39149,207.1774139,-57.78592384,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,22.25,20.4,23.35,20.25,20.78,19.0,21.0,18.79,128.35,106.25,138.5,105.4,1.859,2.17,2.34,1.82,386.9,387.6,390.5,386.0,11.78,11.72,11.98,11.28,213565.0
1996-09-30,2,21.55,3,3,5.798158358,-2.885379142,366.482421,96.69233512,27.10131672,5777.792,33825.48644,6649.153981,30599.05398,36214.78342,25.82,21.55,1.19,18.43,110.73,30.12052424,18.9982376,36.60122788,34.47454393,95.07,108.02,97.51,110.05,101.79,97.8,-1314.000031,3611.793393,4925.793424,1426.409055,155.7755783,885.0453701,16.21403171,-0.522821951,274.6810105,214.0549974,12.81280212,37.95953311,48.71269365,274.0756631,7.057460476,1040.820948,1025.06,1051.64,1025.06,911.3807114,1588.158489,145.768637,-676.7777781,736.6926028,-59.9148247,10.28269985,25.26524028,17.14293039,13.34376746,4.354716552,38.53429179,21.0424141,60.28152664,21.05607536,0.811787243,19.19679517,10.35800732,30.90739198,20.21588302,17.22708245,8.345071212,23.96074969,25.55146347,37.97859378,20.85143156,14.33979066,20.37316703,24.38,23.4,25.35,22.85,23.21,21.48,24.39,21.45,102.95,126.5,126.75,102.25,2.214,1.86,2.24,1.735,377.7,386.2,386.3,377.2,11.47,11.75,12.2,10.99,235500.0
1996-10-31,2,21.87,4,4,6.302816769,8.703770755,373.0322593,95.37496548,25.55090839,5806.671,34762.47492,6967.011965,31013.22297,37078.67389,26.12,21.87,1.15,19.8,116.31,30.96624312,19.61145799,36.79349794,34.87389412,91.62,104.74,93.98,106.6,98.16,94.21,-1197.774587,4030.609234,5228.383821,3158.908124,247.8096323,792.0745772,12.16549251,11.65224586,250.1297607,175.2105661,10.01991325,40.80833749,41.25279666,244.204707,6.630757534,1039.884209,1005.83,1030.54,1005.83,1082.283621,1195.838201,158.561934,-113.5545793,102.2285757,11.32600359,4.974421286,23.01198766,11.79029237,14.10185416,2.660556397,39.6719713,26.91330457,48.71112958,19.52632764,3.792592834,18.31489607,8.641956013,27.64564491,16.91987047,15.69574724,4.636301138,30.33957667,25.27930268,42.68351661,20.14247758,9.464118265,19.27102286,23.35,24.1,26.1,23.1,22.67,22.9,25.06,22.62,117.2,103.5,123.0,103.5,2.728,2.205,2.88,2.165,378.1,377.3,384.0,377.0,10.3,10.87,11.05,10.29,235500.0
